Especie;Temp;Pulsacions
Exclamationis;20,8;66,25986301
Exclamationis;20,8;65,39304892
Exclamationis;24;75,78131682
Exclamationis;24;80,11507323
Exclamationis;24;80,14522729
Exclamationis;24;80,87973627
Exclamationis;26,2;85,13099234
Exclamationis;26,2;85,61238781
Exclamationis;26,2;89,55159994
Exclamationis;26,2;88,16759144
Exclamationis;28,4;99,26108241
Exclamationis;29;97,27756832
Exclamationis;30,4;98,59985961
Exclamationis;30,4;101,9829548
Niveus;17,2;46,74834127
Niveus;18,3;47,27154092
Niveus;18,3;47,56610219
Niveus;18,3;50,29145763
Niveus;18,9;49,42999082
Niveus;18,9;51,02595061
Niveus;20,4;60,0349609
Niveus;21;60,01411027
Niveus;21;59,56529452
Niveus;22,1;62,19291207
Niveus;23,5;69,73343571
Niveus;24,2;67,07009036
Niveus;25,9;75,09905328
Niveus;26,5;75,1165234
Niveus;26,5;78,12896824
Niveus;26,5;77,90389572
Niveus;28,6;84,54100567
